2410	2335	75	76043.318341
2356	2272	84	76481.261673
2293	2209	84	76972.688365
2230	2144	86	77465.227966
2165	2080	85	77976.086687
2102	2019	83	78479.863956
2041	1957	84	78973.207394
1979	1890	89	79477.929678
1912	1827	85	80013.616650
1860	1763	97	80527.166106
1796	1701	95	81115.019934
1734	1636	98	81694.134514
1670	1572	98	82293.455046
1617	1510	107	82894.257204
1555	1449	106	83565.842693
1494	1382	112	84214.217452
1439	1319	120	84910.887848
1388	1254	134	85686.509696
1335	1192	143	86494.751089
1285	1127	158	87396.794279
1244	1063	181	88395.730759
1215	1001	214	89540.371786
1225	902	323	90907.518188
