0.646505 896419285413.000000 0.007820	0.642694	2.000000	0.010198	1.989802 0.405962	1.532089	0.002000	1.530089	0.313715	-1.285575	-0.010000	-1.275575	0.253662	-5310.999054
0.653895 896419300962.000000 0.007483	0.650173	2.000000	0.010198	1.989802 0.415643	1.532089	0.002000	1.530089	0.321160	-1.285575	-0.010000	-1.275575	0.259869	-7797.547185
0.660791 896419316469.000000 0.007464	0.657636	2.000000	0.010198	1.989802 0.425410	1.532089	0.002000	1.530089	0.328670	-1.285575	-0.010000	-1.275575	0.266130	-10312.636371
0.668097 896419331645.000000 0.007304	0.664938	2.000000	0.010198	1.989802 0.435075	1.532089	0.002000	1.530089	0.336102	-1.285575	-0.010000	-1.275575	0.272325	-12855.651957
0.675086 896419346126.000000 0.006970	0.671906	2.000000	0.010198	1.989802 0.444393	1.532089	0.002000	1.530089	0.343268	-1.285575	-0.010000	-1.275575	0.278299	-15425.314939
0.682533 896419360907.000000 0.007114	0.679020	2.000000	0.010198	1.989802 0.454006	1.532089	0.002000	1.530089	0.350659	-1.285575	-0.010000	-1.275575	0.284461	-18022.184767
0.690534 896419376255.000000 0.007388	0.686404	2.000000	0.010198	1.989802 0.464096	1.532089	0.002000	1.530089	0.358419	-1.285575	-0.010000	-1.275575	0.290930	-20647.297523
0.699012 896419394286.000000 0.008678	0.695081	2.000000	0.010198	1.989802 0.476098	1.532089	0.002000	1.530089	0.367648	-1.285575	-0.010000	-1.275575	0.298624	-23305.594386
0.706950 896419411635.000000 0.008350	0.703429	2.000000	0.010198	1.989802 0.487786	1.532089	0.002000	1.530089	0.376635	-1.285575	-0.010000	-1.275575	0.306116	-25995.818438
0.714468 896419428055.000000 0.007903	0.711330	2.000000	0.010198	1.989802 0.498972	1.532089	0.002000	1.530089	0.385237	-1.285575	-0.010000	-1.275575	0.313287	-26861.756368
0.721783 896419443162.000000 0.007271	0.718599	2.000000	0.010198	1.989802 0.509369	1.532089	0.002000	1.530089	0.393232	-1.285575	-0.010000	-1.275575	0.319952	-26861.756368
0.728477 896419457215.000000 0.006764	0.725362	2.000000	0.010198	1.989802 0.519131	1.532089	0.002000	1.530089	0.400739	-1.285575	-0.010000	-1.275575	0.326210	-26861.756368
0.735059 896419471065.000000 0.006666	0.732026	2.000000	0.010198	1.989802 0.528841	1.532089	0.002000	1.530089	0.408205	-1.285575	-0.010000	-1.275575	0.332435	-26861.756368
0.742730 896419485796.000000 0.007090	0.739114	2.000000	0.065788	1.934212 0.538977	1.532089	0.062000	1.470089	0.415909	-1.285575	-0.022000	-1.263575	0.339057	-25765.431221
